OMG QUEEN 💅👑
Wow so cool ♡♡♡
Esta canción es inscribe demos amor a hwasa y sus canciones
"Wwoah woah, where do I start. The vibe, the concept, the outfits and every emotion and details were so amazingly pulled off by Hwasa Unnie. Her powerful expressions and aura , aaah it was so profound. The instrument used in video and breaking visual at 03:06 was so dope. Loved it 💕"
"와, 라치카의 석가치원 님이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
정말 귀엽고 이쁘다...😄😊
Iconnnn
So many symbolisms
😍❤‍🔥
ELA ENTREGA TUDO 🇧🇷🇧🇷🇧🇷❤❤❤
does anyone else get dua lipa vibes throughout and then halsey vibes in the bridge (3:11). so so obsessed with this song how does she kill it EVERY TIME
☆the best mv i've ever seen☆
This is  so good!♡♡
💜💜💜
"Queen Hwasa The best.. Rocked as always, but so underrated like 2m views wtf"
HWASA YOU ARE SO BEAUTIFUL MY LOVE MY LIFE!! KEEP GOING MOOMOOS ;>>
"wow from 2.7m to 2,688,000🤡"
🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐🛐
"¡¡¡Te amamos !!!. Eres arte , todo mi amor para ti desde 🇲🇽🇲🇽"
Queen Hwa Sa never fails 👌🙌
Queen is back with a masterpiece;)
Dying to know what the message is all about but all hail to Queen Hwasa for another masterpiece! 🔥🔥🔥
예전엔 잘몰랐는데 화사가 좋다
Beuty Queen. Güzeller kraliçesi👑👑👑👑
I'm Obsessed with this song
화사 딱붙는 칼단발 너무 찰떡
I SERIOUSLY WANT TO KNOW WHY RBW  IS DOING THIS TO MAMAMOO. NO SUBS. NO ADS. WHYYYYYYY
"HWASA LOVERS, WHERE ARE YOU? LEGGO!"
Люблю тебя🥺❤️❤️❤️
"Çok güzel olmuş, ağlıyorum. 😫"
T amooooo
ESOOOOOOO MAMONAAAAA
ну королева!!!
Hwasa  you are amazing I've been waiting for this song with excitement and I'm sure it's great
💓💓💓💓💓💓💓
Why did she slap the tower of oreos?
Муму продолжайте смотреть Хвасу
DIOSSS TODO LO QUE HACE HWASA ES ARTEEE! ME ENCANTÓ LA CANCIÓN:3
It's always the coolest
.gggggh
I don't think words can describes how fucking Amazing she is 🖤💜 Queen 🎎
"Amoooo... Hwasa mi mujer, ella preciosa como siempre, amo la canción."
Queen Hwasa always makes me goosebump everytime
queen's new song is out 😩😩
재능이 진짜 미쳤다….
Queen ...
So creative! ❤️hwasa
발음이 놀토에 최적화 됐네 이번 곡도 첫 음절부터 받쓰 실패할듯
She is a fucking QUEEN.  ❤️
Bossy bitch YES
ES TAN ADICTIVA
Coming from jessi showterview
I love mommy
Ella es hermosa.
NEXT MASTERPIECE BY QUEEN❤
"""I WANNA BREATH NO BRA"" . 🛐"
뮤비 너무 예뻐요 ㅠㅠㅠ ♥
Y para acabar el año está joyita ... 💫✨👑
Queen 👑 always rock's
Woww...she blended the traditional instrument into a kpop song and made it so special and amazing 👏 ♡♡♡...The queen...she rockzz ♡♡
이번 앨범 너무 좋아요 사랑해요!!
"Она великолепна, просто настоящая женщина...ее магнетизм в ее неповторимой женственности, и милая и хищная одновременно. ХваСа просто номер один."
Rihanna of kpop🤩😍
Best voice
Q-U-E-E-N!!!
So talented
So cool
She's doesn't look like queen . . . . . . . Cos she's already a queen she's born to be queen
here again.. keep str3aming
No waaait! But what the f is this?? Such an amazing piece of art!!! And that dance break??/ Freaking beautiful!
60th time here cause why not
Queen!
Hwasaa
She’s so talented <3
"Tremenda canción ♡°♡. Hwasa reina lo estas haciendo muy bien, aquí estamos contigo."
Hwasa Hwasa the Queen did it again💃😍😍😍
If hwasa and rm will to a collab then this world is gonna collapse🥵😩💜
나 댄브 젤 좋았는데…..음원에서 없어서 아쉽당 ㅠㅠ그래도 노래 좋다 플리에서 바로 넣음
"Dioooos, me encanta la letra y la canción todo, está muy buena, me gusta que los ídols piensen sobre que no deben influir en los otros, hwasa la estás rompiendo!!!!"
رهيبةةةةةة
A 4 minute 21 seconds MV wasn't enough for me 😣
"CANT BELIEVE THAT SHE DID IT AGAINNN!!!!  HWASA IS FULL OF TALENTTT... STAN MAMMOO, STAN TALENTS..🤡💜💜💜💜"
TE AMO QUE REINA QUE SOS
Muito gt meu Deus😍❤️❤️❤️
The queen is back ♡♡♡
Luuuuuv it
"The video should have eng subtitles to have more viewers, the video deserves it :')"
TE AMO HWA SA
Hwa Sa + CL + Sunmi = what we're waiting for.
Can we talk about the beautiful traditional Korean elements in this MV? I love it!!
超正的啦😍
여자솔로아이돌의 전형적인 틀을 깨부시고 파격적이게 역사를쓰는 화사…장르 개척이다.그저 빛
THE QUEEN IS BACK !!
este comeback tiene que llegar a los 100 millones si se puede chica
"""""WOW"""""
"모든 시절의 당신을 노래로 표현하세요 지금처럼 , 화사는 화사의 생각보다 더 위대하다. 화사가 그것을 믿는순간 너는 지금처럼 빛"
