태균이형 잘생겼음
김태균 엄청 쩝쩝거리네..
현주엽선수의 흑기운을 김태균선수가 희석시켜주네요. 대략 캐미 좋음.
현주엽감독님 먹방 많이 하시는거 좋은데 건강도 꼭 챙기세요 오래오래 보고파요ㅎ
태균이 너무 묻어간다.
현주엽님은 먹을때 진지하세요 . 단순 배 채울려는게 아니라 ㅋㅋ. 정말 진지하게 진심으로 집중해서 드시는거 같아요. 대리만족을 넘어 경외심까지 드네요
헤비급 톰과 제리들ㅋ
태균형님하면 하고 싶은말 다한다~~. 둘 너무 웃겨요ㅋㅋ
김태균은 살도빠지고 잘생겼냐..
주엽이형은 도대체 얼마나 먹는거야??죄다 먹는 영상이야ㅡㅡ
와... 차돌 두께가..... 아... 진짜.... 진짜 맛있겠다... ㅠㅠ
김태균..겁나쩝쩝데네..
여기서도 하는 주엽복지 보기좋네요 ㅎㅎ
태균이가 잘하네
주엽형님 본인 유튜브채널에서도 그렇게 먹고 여기서도 많이먹고 ㄷㄷㄷ
현주엽 형이 대식가이고 고기도 좋아하지만 자기혼자만 맛있는거 먹으려하거나 남주는거에 인색하지않음
진짜 ㅋㅋㅋ  두분  케미 ㅋㅋㅋㅋㅋ  빵터졋네 ㅋㅋㅋ  구독
ㅋㅋ아 김태균 웃기네
최애 먹방러 현주엽에 최애 야구 선수 김태균의 조합이라니.. 많이많이 올랴주세요🧡🧡🧡
현주엽님 먹방이 너무 맛있게 잘드셔서 여기서도 본다고 좋다고 왔는데 옆에분 쩝쩝소리듣고 갑니다…
스케일이 크네요 ㅎㅎ 강창희 감독님도 계시고 ㅋㅋ
먹방의 판도를 뒤바꿀 컨텐츠 탄생!!태균형 좋아요!!
김태균씨 엄청 까불거리네 ㅋㅋㅋ 철부지 어린아이 같아요 ㅋㅋ
김태균선수 개그맨 윤정수씨 많이 닮았네요
많이도 먹지만 안지치고 끝까지 제대로 먹는게 진짜 제대로 먹을줄아는 사람들... 부럽다 그냥 쑤셔넣는거랑 많이 다르다
잘생겨서 김태균이지도 몰랏네
강찬희 감독님 올만이네ㅋ
김태균님 야구선수 시절 별명  많을때부터 알아봤는데ㅋㅋㅋㅋㅋㅋ 진짜 제가 아는 40대 중에 젤 귀여우심 현주엽님과의 케미가 생각보다 좋으시네요ㅋㅋㅋㅋ
다른분 채널서도 먹네요 .ㅋㅋ
태균씨  매력  넘치시네요  두분  넘  재밌어요
까치둥지 말씀하시는듯
다 좋은데 화면 색감이 좀 회색이 많이 돌아요!!
태균님 슈퍼맨돌아왔다 이쁜애기들 계속 같이 나와주세요  애기들 넘이뻐요
절에서는비우고 소식하며삽시다. 속세에선 채우고 대식하며삽시다
아니 이 두분 유튭은 언제 시작하신거예욥? ㅋㅋㅋ 잼나게스리...
리니지는 홀수지....
잘드시네요....
흔한 대식가 먹방 안좋아하는데 주엽이형 먹방 좋은 이유가 많이 먹어도 즐기면서 맛있게 먹어서...
빨리 다음편 내놔요..
김반말👍🏻
현 주협이..태균이 보다 입이 크다...차이가 많이 나네...
하린이..?
두분 케미 너무 웃겨서 구독하고 가네요 ^^
그렇게 마니 먹는건. 단명에 필수 조건인데.
아 웃겨ㅋㅋ 듀오 짱임
디저트 맛집은 이딜까요~?
많이 못드시네요
태균님 머리 머싯네 ㅎ
식욕증진프로그램.... 👍
재수없게 쳐먹네ㅋㅋ
"의경시절 근무때 김태균선수 운전면허증 재발급 받으러 둔산경찰서 오셨길래 코앞에서 볼 기회 있었는데, 전혀 안뚱뚱했음. 몸 엄청 튼실해보이고, 기골이 장대한 장군같았음 ㅎㅎ"
갸꿀잼이네 이거 ㅋㅋㅋ
그럼 뭐가 맛있니에서 터졋다 ㅎㅎㅎㅎㅎㅎ
김태균이사람도 농구선수인가 못봤는데.... 누구야...뚱뚱한사람 델따 놓고 뭔 운동부 주작이네
매직히포가 아니라 매직피그였다...
김태균 살짝 윤정수 닮았구나
강호동 이수근이 운동선수였으면 딱 현주엽 김태균이였을듯 ㅋㅋ
태균이형 찔끔찔끔 딜넣는거 개웃기네요 ㅋㅋㅋ
아이러시 ㅋㅋㅋ
1박 2일 팀..강감독이랑 PD님이 여기서....먹보스채널 조만간 따라 잡을 기세네..ㅎㅎㅎ
어떻게 둘이 붙여놨냐 ㅋㅋㅋ
한화이글스의 심장 김태균!!!
아니 쭈엽이형은 채널 두개에서 고기를 몇번을 먹는거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
복숭아 아이스티 차가운거는 뭐야 ㅋ
너무너무 재밌게 봤습니다 ㅋㅋ. 와 이 두 분이 같이 드시니까...좀 와....감탄만 나오네요 ㅋ
아 이거 재밌는데 ㅋㅋ
우와~촬영감독님이 . 런닝맨 강찬희감독님이시네.. 쭈엽님💜대단👍👍👍
오늘은 쫌 싫다 끼니를 없어서 먹지 못하는 사람들도 있는데 😂 한번에 수십만원이 한끼식사에 나가는게 아주쬐금밉네용^^
오 둘이 하는 프로가 다시 생겻구나!! 둘 캐미 아주 좋아~
Please have English subtitle. 🥺🙌
이거 대박각 ㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋ 재밋다ㅋㅋㅋㅋ
하루도 안됐는데 조회수가 13만이네
현주엽 귀여워^^
케미 쩐다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10:19에 나오는 차 뭔가요??
