Best collaboration ever!
I love army 💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
BTS💜. COLDPLAY 💜
BEST COLLAB EVER!!!!
the way I was screaming the lyrics with the biggest smile on my face😭💜
The fancam much better than AMAs
"The collaboration, the performance! I FELT IT ALL! ABSOLUTELY STUNNING!"
"La sonrisa de Tae al final da vida, y que buenísima colaboración Colplay & Bts wuauuuuu😍😍😍😍😘💝😘💝😘💝😘"
they r my univers💜💜💜
I didn't know about your live presentation T.T I have no TV plus I was super tired the nigth of the show plus YT didn't show me before!!! I've just saw a pic about all of you guys having fun on the stage and I was kinda what? When? Where?
São maravilhosos 😍😍😍😍
Love from bangladesh 🇧🇩🇧🇩🇧🇩
This should be awarded in Grammys or other awards
Fanmeeting with bts...😭
My board exams are starting from tomorrow and here I am😅 but my preparation is done anyways cuz I'm an Army.. And army can do anything 🤭🤭💜💜
Love you BTS 💜💜💜💜
Omg
💜💜💜💜💜
💜
to be one of those front row people who held BTS hands... anyway that was AMAZING!!
I noticed Giveone smiling so sweetly at the end)
😢
Sound issues literally... 😔 otherwise performance is great
🎤🎤🎤 MY UNIVERSE 🥰🥰😍😍😍
😭😭💜
Performance is far different from the actual song
Thank you so much for performing with BTS and ARMY.
🥚🥚🥚🥚
❤❤🇲🇽🇲🇽🇲🇽SON MI UNIVERSO LOS AMO BTS ❤❤❤❤🇲🇽🇲🇽🇲🇽🇲🇽💯💯💯💯💯
BTSSSSSSSSS
Thankyou
You all are our universe💜
ㅣㅏ슴이 웅장해진다
I'm glad to see them on a live show two years later💜💜
💜💜💜💜
"Pepsi should get BTS and Coldplay again for Superbowl Halftime, my opinion."
SEEING THEM TOGETHER ON STAGE FEELS SO UNREAL
Their smilessss
How to turn AMA to BTS x Coldplay Concert
I always get goosebumps very time i hear this song!!
Bangtan forever
I'M SO PROUD OF THEM 😭😭😭😭😭😭😭😭😭😭😭😭😭😭
Apik tenan...seru bingitz haha
❤❤❤❤❤❤❤❤❤
This is bad
OUR UNIVERSE
v mirip sm gweh
💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
Sugaaaaaa 🤟
Superb💜💜💜
얘드라 너무너무 빛난다...♡
❤
No le pasa su voz sin autotune se respeta
😍😍😍
I will always love you Coldplay 😍
damnnnn
How lucky these ppl are to get to see this live🙁
"The music is too low, whyyy amas whyyyy"
Bujang2kuuu🌝
Estuve increíble wuauu
It sounds much better in the videoclip. Enormous difference.
"thought this was award show but to me, this looks like Coldplay and BTS's concert. 'm so inlove with them huhu."
This is iconic >~<
my universe
I just love this performance so omg I can't explain how happy I was coldtan 💜 We love you
😭😭🔮💜
Beautiful 💜
I like the song
👍
💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
I feel bad for this performance :) fr
Great song! Living in Korea and loving this culture of music and dance. Here is another great song from Coldplay and a local Korean dance company. . . https://m.youtube.com/watch?v=3WOwa0lWEz4
This is a joy to watch! Thank you Coldplay and BTS
Finally kim taehyung wearing headband again ♡
This legendary collaboration has to be in the page of history... I'm really proud of them..
I 💜💜💜 hehe<3333
국뽕빼고 콜드플레이랑 합동무대는 와... 것도 미국에서 ㄷㄷ
Jungkook's voice was barely audible something wrong with his mic it seems :/
💜💜💜
BEST COLLAB EVER!!!
Happy tears 😊😊😘
Special Envoy of South Korea👑. Congratulation 2nd Grammy Nominated Koran First & Only Artist BTS🔥
Du du.... Du duuuu.... Candu banget
"Amazing!!!!!!!. And if you watch fancam , more amazing!!!!!"
precioso. Amo.
Love this Collab they made Coldplay back to ama
I dont have any words to say.........
보라해 💜
Amazing 💜👾
"Thank you Coldplay, thank you Chris Martin for collaborating with BTS...This is a wonderful song. I can't stop listening to it!"
"So awsm,I wish I was there to witnessed this amazing moment 😢🙂"
Великолепно !!
💜💜💜
♥
"*i have high respect for coldplay for making this wonderful song with bts~*. BTS, THANK YOU SO MUCH FOR DEBUTING~ ♡♡♡. . JUNGKOOK, THANK YOU FOR BEING BORN. I'm grateful to your parents. I love you~ ♡♡♡. . -ARMY, from the Philippines"
bts such
